0.9582552307, 0.0010074953
0.9583262997, 0.0029087478
0.9584544217, 0.0052176941
0.9585825558, 0.0074587558
0.9587249350, 0.0099035679
0.9588458923, 0.0123482353
0.9589526164, 0.0145212676
0.9591235824, 0.0168305034
0.9592232262, 0.0186640643
0.9594085339, 0.0206339734
0.9595361332, 0.0225356078
0.9597448639, 0.0255239461
0.9599772216, 0.0283823316
0.9601952910, 0.0312792771
0.9603916430, 0.0336065985
0.9605588524, 0.0358479242
0.9607533982, 0.0382930888
0.9609704181, 0.0403989816
0.9611897852, 0.0426906305
0.9614606452, 0.0454257636
0.9616744432, 0.0478031736
0.9619452822, 0.0506561620
0.9622590134, 0.0532379014
0.9625870381, 0.0557518526
0.9629294406, 0.0577228231
0.9632717587, 0.0601689862
0.9635571082, 0.0617322629
0.9638995831, 0.0632959256
0.9641992622, 0.0645877602
0.9644989654, 0.0657438256
0.9648129621, 0.0668321028
0.9652126830, 0.0677173050
0.9656410027, 0.0683990463
0.9660122092, 0.0690125170
0.9663977935, 0.0690830070
0.9667691085, 0.0690855159
0.9671833399, 0.0686810064
0.9675833744, 0.0678012079
0.9679548704, 0.0667854472
0.9682121155, 0.0657689144
0.9685693663, 0.0645494032
0.9688552224, 0.0632615249
0.9691126244, 0.0613624918
0.9693128648, 0.0596667267
0.9694988359, 0.0579029804
0.9697705554, 0.0558003899
0.9699565627, 0.0538329896
0.9701283007, 0.0517976083
0.9702572188, 0.0496261682
0.9703432205, 0.0478617464
0.9705007495, 0.0454189607
0.9706295953, 0.0436548284
0.9708156749, 0.0412801203
0.9708874315, 0.0393119481
0.9710306912, 0.0368011813
0.9711881600, 0.0346978188
0.9713028570, 0.0321868590
0.9713889190, 0.0300830140
0.9714178918, 0.0277751291
0.9715183196, 0.0251961881
0.9715901244, 0.0229564773
0.9717048214, 0.0204455175
0.9717909799, 0.0177985954
0.9718342220, 0.0155586916
0.9718775847, 0.0126399414
0.9719208027, 0.0105358070
0.9719498117, 0.0080242682
0.9720645087, 0.0055133083
0.9721362894, 0.0034093669
0.9721793988, 0.0019161942
0.9721938369, 0.0010337903
